tax	COT1	COT2	COT3	COT4	COT5	ICO1	OUT1	OUT2	OUT3	OUT4	total
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter filiformis	0	0	1	1	0	0	0	0	0	0	0
Bacteria;Abditibacteriota;Abditibacteriia;Abditibacteriales;Abditibacteriaceae;Abditibacterium;Abditibacterium utsteinense	3	19	0	1	5	0	4	1	0	6	9
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Arenimicrobiaceae;Arenimicrobium;Arenimicrobium luteum	28	16	25	33	28	7	9	3	8	2	30
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Arenimicrobiaceae;Brevitalea;Brevitalea aridisoli	18	40	34	63	32	5	25	21	22	40	58
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Arenimicrobiaceae;Brevitalea;Brevitalea deliciosa	55	17	38	25	47	55	49	16	37	0	55
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Aridibacter;Aridibacter famidurans	4	0	2	3	7	0	4	0	4	3	7
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Aridibacter;Aridibacter kavangonensis	55	53	20	44	22	31	163	87	82	103	158
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Aridibacter;Aridibacter nitratireducens	82	41	25	42	25	75	197	115	135	158	240
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella;Blastocatella fastidiosa	44	21	8	26	16	17	32	24	22	22	66
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;Stenotrophobacter namibiensis	3	2	0	1	0	0	0	0	4	0	3
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;Stenotrophobacter roseus	2	2	1	1	2	0	3	3	0	4	6
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;Stenotrophobacter terrae	43	18	34	40	31	23	44	37	47	53	96
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Tellurimicrobium;Tellurimicrobium multivorans	17	5	8	13	16	4	7	6	11	10	27
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Pyrinomonadaceae;Pyrinomonas;Pyrinomonas methylaliphatogenes	4	0	2	4	2	0	3	4	6	3	7
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellia_Incertae_sedis;Blastocatellia_Incertae_sedis;Chloracidobacterium;Chloracidobacterium thermophilum	46	67	52	69	39	6	25	10	17	11	57
Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;Acanthopleuribacter pedis	9	6	8	16	9	1	14	9	11	10	19
Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Sulfidibacter;Sulfidibacter corallicola	32	33	33	37	32	11	12	12	11	18	50
