Sample	type	environmental_conditions	pH	temperature	conductivity	total_dissolved_solids	dissolved_oxygen	salinity	turbidity	chloride	nitrate	sulfate	sodium	potassium	magnesium	calcium	alcalinity
s01	urban	33,7	6,62	29,74	359	180	5,91	0,17	32,9	202,69	0,36	28,15	185,56	756,44	18,75	9,03	25
s02	urban	33,8	7,01	31,33	403	202	5,86	0,19	41,2	212,81	0,33	28,67	166,91	855,59	18,92	8,52	21,01
s03	urban	31,2	6,88	29,75	446	223	5,97	0,21	50,9	229,33	0,38	31,95	209,02	715,24	19,54	9,96	21
s04	urban	33,7	6,92	31,63	429	214	5,66	0,2	37,9	260,95	0,44	36,17	239,33	983,65	22,14	11,03	25
s05	urban	37,1	6,73	30,52	444	222	5,62	0,21	42,7	291,61	0,49	38,94	263,98	1186,46	25,78	11,24	32
s06	island	37,7	7,72	23,31	1446	723	4,46	0,73	69,8	480,39	2,09	68,64	434,85	1054,35	29,61	14,54	30
s07	island	37,2	7,41	24,55	1427	713	4,29	0,71	40,1	465,76	1,49	69,33	423,46	1066,95	25,38	10,63	33
s08	island	37,1	7,42	29,32	518	259	3,72	0,25	70,7	185,85	0,65	28,26	171,75	409,04	14,56	8,02	25
s09	island	37,5	7,42	28,11	779	390	3,68	0,38	39,1	237,71	0,93	35,73	219,72	459,93	15,32	7,94	30
s10	island	37,7	7,64	28,92	412	206	3,94	0,2	33,9	120,38	0,35	18,04	109,94	244,33	12,44	7,75	26
